EmployeeName,Department,Role,Day,Shift
Amelia Perez,Oncology,Doctor,"(3, 5, 12, 14)","(001, 001, 100, 010)"
Amelia Scott,Oncology,Doctor,"(2)","(001)"
Amelia Smith,Emergency,Nurse,"(2, 6)","(001, 100)"
Amelia Smith,Neurology,Nurse,"(12)","(010)"
Amelia Smith,Gynecology,Nurse,"(8, 11)","(001, 010)"
Amelia Smith,Radiology,Nurse,"(13)","(001)"
Amelia Smith,Psychiatry,Nurse,"(1)","(001)"
Amelia Smith,Orthopedics,Nurse,"(3)","(001)"
Amelia Smith,Oncology,Nurse,"(9)","(001)"
Amelia Walker,Emergency,Admin,"(14)","(100)"
Amelia Walker,Cardiology,Admin,"(4, 6)","(100, 001)"
Amelia Walker,Neurology,Admin,"(7)","(010)"
Amelia Walker,Pediatrics,Admin,"(1)","(100)"
Amelia Walker,Radiology,Admin,"(12)","(010)"
Amelia Walker,Orthopedics,Admin,"(8, 9, 10)","(001, 001, 100)"
Amelia Walker,Oncology,Admin,"(5)","(010)"
Ava Brown,Pediatrics,Admin,"(7)","(100)"
Ava Brown,Radiology,Admin,"(5)","(100)"
Ava Brown,Orthopedics,Admin,"(2)","(010)"
Ava Brown,Oncology,Admin,"(10)","(100)"
Ava Gonzalez,Cardiology,Nurse,"(11, 14)","(100, 010)"
Ava Gonzalez,Neurology,Nurse,"(4)","(001)"
Ava Gonzalez,ICU,Nurse,"(7)","(001)"
Ava Gonzalez,Pediatrics,Nurse,"(12, 13)","(100, 010)"
Ava Gonzalez,Gynecology,Nurse,"(3, 8)","(001, 010)"
Ava Gonzalez,Radiology,Nurse,"(6)","(010)"
Ava Gonzalez,Psychiatry,Nurse,"(2)","(100)"
Ava Gonzalez,Orthopedics,Nurse,"(9, 10)","(001, 001)"
Ava Hill,Emergency,Nurse,"(2, 7, 14)","(100, 001, 001)"
Ava Hill,Cardiology,Nurse,"(1, 11, 12)","(010, 100, 100)"
Ava Hill,Neurology,Nurse,"(4)","(010)"
Ava Hill,ICU,Nurse,"(8)","(001)"
Ava Hill,Pediatrics,Nurse,"(6)","(100)"
Ava Hill,Gynecology,Nurse,"(5)","(001)"
Ava Hill,Psychiatry,Nurse,"(13)","(010)"
Ava Hill,Oncology,Nurse,"(9)","(001)"
Ava King,Emergency,Admin,"(11)","(100)"
Ava King,Cardiology,Admin,"(12)","(001)"
Ava King,Neurology,Admin,"(14)","(010)"
Ava King,Gynecology,Admin,"(7, 9)","(001, 010)"
Ava King,Radiology,Admin,"(10)","(010)"
Ava King,Orthopedics,Admin,"(4)","(010)"
Ava King,Oncology,Admin,"(5, 13)","(001, 001)"
Ava Lee,ICU,Admin,"(6)","(100)"
Ava Lee,Gynecology,Admin,"(11)","(001)"
Ava Lee,Orthopedics,Admin,"(5)","(100)"
Ava Lewis,Emergency,Admin,"(8, 13)","(010, 001)"
Ava Lewis,Cardiology,Admin,"(5, 7)","(100, 100)"
Ava Lewis,Neurology,Admin,"(11)","(010)"
Ava Lewis,ICU,Admin,"(4)","(010)"
Ava Lewis,Gynecology,Admin,"(9, 14)","(010, 010)"
Ava Lewis,Psychiatry,Admin,"(1, 2)","(100, 100)"
Ava Lewis,Oncology,Admin,"(12)","(100)"
Ava Lopez,Emergency,Doctor,"(13)","(010)"
Ava Lopez,Cardiology,Doctor,"(2, 4, 7)","(010, 010, 100)"
Ava Lopez,ICU,Doctor,"(1, 3)","(100, 100)"
Ava Lopez,Pediatrics,Doctor,"(6)","(010)"
Ava Lopez,Psychiatry,Doctor,"(5)","(001)"
Ava Martin,Cardiology,Doctor,"(10)","(100)"
Ava Martin,ICU,Doctor,"(1, 3)","(100, 010)"
Ava Martin,Pediatrics,Doctor,"(5, 8)","(100, 001)"
Ava Martin,Gynecology,Doctor,"(2)","(010)"
Ava Martin,Radiology,Doctor,"(14)","(001)"
Ava Martin,Psychiatry,Doctor,"(4, 7)","(001, 001)"
Ava Martin,Orthopedics,Doctor,"(9)","(100)"
Ava Martin,Oncology,Doctor,"(12, 13)","(100, 010)"
Ava Perez,Psychiatry,Nurse,"(3)","(100)"
Ava Scott,Emergency,Admin,"(14)","(010)"
Ava Scott,Cardiology,Admin,"(5, 7, 12)","(100, 100, 010)"
Ava Scott,Pediatrics,Admin,"(1, 3)","(001, 001)"
Ava Scott,Gynecology,Admin,"(9)","(001)"
Ava Scott,Oncology,Admin,"(2, 4)","(100, 010)"
Barbara Anderson,Neurology,Doctor,"(10, 11)","(001, 100)"
Barbara Anderson,ICU,Doctor,"(3, 12)","(001, 001)"
Barbara Anderson,Pediatrics,Doctor,"(2)","(100)"
Barbara Anderson,Gynecology,Doctor,"(1, 14)","(001, 001)"
Barbara Anderson,Radiology,Doctor,"(5)","(100)"
Barbara Anderson,Psychiatry,Doctor,"(8)","(001)"
Barbara Brown,Emergency,Nurse,"(6, 9)","(100, 100)"
Barbara Brown,Cardiology,Nurse,"(8, 13)","(010, 001)"
Barbara Brown,Neurology,Nurse,"(4)","(010)"
Barbara Brown,Gynecology,Nurse,"(7)","(001)"
Barbara Brown,Psychiatry,Nurse,"(3)","(001)"
Barbara Jackson,ICU,Admin,"(3)","(001)"
Barbara Jackson,Pediatrics,Admin,"(11)","(100)"
Barbara Jackson,Radiology,Admin,"(1)","(001)"
Barbara Jackson,Oncology,Admin,"(10)","(100)"
Barbara Nguyen,Cardiology,Doctor,"(2)","(001)"
Barbara Nguyen,ICU,Doctor,"(1, 3, 13)","(001, 010, 001)"
Barbara Nguyen,Gynecology,Doctor,"(7, 12)","(010, 010)"
Barbara Nguyen,Radiology,Doctor,"(8)","(001)"
Barbara Nguyen,Psychiatry,Doctor,"(14)","(010)"
Barbara Robinson,Neurology,Doctor,"(3, 10, 11)","(010, 001, 010)"
Barbara Robinson,ICU,Doctor,"(5, 6)","(100, 001)"
Barbara Robinson,Pediatrics,Doctor,"(14)","(100)"
Barbara Robinson,Radiology,Doctor,"(4, 12)","(001, 100)"
Barbara Robinson,Psychiatry,Doctor,"(13)","(010)"
Barbara Robinson,Orthopedics,Doctor,"(9)","(010)"
Barbara Robinson,Oncology,Doctor,"(1)","(001)"
Barbara Scott,Gynecology,Doctor,"(3)","(010)"
Barbara Scott,Psychiatry,Doctor,"(12)","(010)"
Barbara Scott,Orthopedics,Doctor,"(2)","(100)"
Barbara Scott,Oncology,Doctor,"(10)","(010)"
Barbara Wright,Cardiology,Admin,"(4)","(100)"
Barbara Wright,ICU,Admin,"(6, 14)","(010, 100)"
Barbara Wright,Pediatrics,Admin,"(8, 9)","(100, 100)"
Barbara Wright,Gynecology,Admin,"(3)","(010)"
Barbara Wright,Radiology,Admin,"(11)","(100)"
Barbara Wright,Psychiatry,Admin,"(7, 10)","(010, 001)"
Barbara Young,Cardiology,Doctor,"(2)","(001)"
Barbara Young,Neurology,Doctor,"(7)","(010)"
Barbara Young,ICU,Doctor,"(6, 13)","(100, 001)"
Barbara Young,Gynecology,Doctor,"(10)","(010)"
Barbara Young,Radiology,Doctor,"(1)","(100)"
Barbara Young,Orthopedics,Doctor,"(12)","(010)"
Benjamin Brown,Emergency,Nurse,"(9)","(100)"
Benjamin Brown,Cardiology,Nurse,"(10, 11)","(010, 100)"
Benjamin Brown,Neurology,Nurse,"(4)","(010)"
Benjamin Brown,ICU,Nurse,"(3)","(100)"
Benjamin Brown,Pediatrics,Nurse,"(13)","(100)"
Benjamin Brown,Gynecology,Nurse,"(1)","(010)"
Benjamin Brown,Radiology,Nurse,"(2)","(010)"
Benjamin Brown,Orthopedics,Nurse,"(7)","(010)"
Benjamin Garcia,Pediatrics,Nurse,"(13)","(010)"
Benjamin Garcia,Radiology,Nurse,"(4)","(100)"
Benjamin Jackson,Gynecology,Nurse,"(6)","(001)"
Benjamin Lewis,Emergency,Doctor,"(1, 4)","(010, 001)"
Benjamin Lewis,Pediatrics,Doctor,"(10)","(100)"
Benjamin Lewis,Gynecology,Doctor,"(8, 14)","(001, 100)"
Benjamin Lewis,Psychiatry,Doctor,"(6)","(100)"
Benjamin Lewis,Orthopedics,Doctor,"(3, 5, 7, 9)","(100, 010, 001, 100)"
Benjamin Lewis,Oncology,Doctor,"(13)","(100)"
Benjamin Ramirez,Orthopedics,Nurse,"(3)","(100)"
Benjamin Robinson,Gynecology,Nurse,"(6)","(001)"
Benjamin Robinson,Radiology,Nurse,"(2)","(100)"
Benjamin Robinson,Oncology,Nurse,"(11)","(100)"
Benjamin Rodriguez,Cardiology,Nurse,"(8)","(100)"
Benjamin Rodriguez,Neurology,Nurse,"(7)","(001)"
Benjamin Rodriguez,Pediatrics,Nurse,"(11, 13)","(010, 100)"
Benjamin Rodriguez,Gynecology,Nurse,"(9)","(010)"
Benjamin Rodriguez,Radiology,Nurse,"(4, 6)","(001, 100)"
Benjamin Rodriguez,Psychiatry,Nurse,"(1, 12)","(001, 001)"
Benjamin Rodriguez,Oncology,Nurse,"(5)","(100)"
Benjamin Scott,Psychiatry,Admin,"(11)","(001)"
Benjamin Scott,Oncology,Admin,"(12)","(001)"
Benjamin Wright,Emergency,Admin,"(4)","(010)"
Benjamin Wright,Cardiology,Admin,"(6, 7, 10)","(100, 100, 100)"
Benjamin Wright,Pediatrics,Admin,"(11, 14)","(100, 001)"
Benjamin Wright,Radiology,Admin,"(13)","(001)"
Benjamin Wright,Psychiatry,Admin,"(1)","(001)"
Benjamin Wright,Orthopedics,Admin,"(3)","(001)"
Charles Allen,Emergency,Admin,"(9)","(100)"
Charles Allen,Cardiology,Admin,"(14)","(100)"
Charles Allen,Gynecology,Admin,"(8)","(100)"
Charles Allen,Orthopedics,Admin,"(4)","(001)"
Charles Harris,ICU,Doctor,"(3)","(010)"
Charles Harris,Radiology,Doctor,"(9)","(001)"
Charles Hill,Emergency,Nurse,"(8, 14)","(010, 100)"
Charles Hill,Cardiology,Nurse,"(7, 11)","(010, 010)"
Charles Hill,ICU,Nurse,"(3)","(010)"
Charles Hill,Radiology,Nurse,"(13)","(100)"
Charles Hill,Oncology,Nurse,"(2)","(001)"
Charles Lewis,Emergency,Nurse,"(3)","(100)"
Charles Lewis,Cardiology,Nurse,"(2)","(100)"
Charles Lewis,Neurology,Nurse,"(13)","(001)"
Charles Lewis,Gynecology,Nurse,"(9)","(001)"
Charles Lewis,Radiology,Nurse,"(6)","(001)"
Charles Lewis,Psychiatry,Nurse,"(14)","(100)"
Charles Lopez,Oncology,Nurse,"(13)","(010)"
Charles Ramirez,Emergency,Admin,"(2)","(010)"
Charles Ramirez,Neurology,Admin,"(6, 10)","(100, 100)"
Charles Ramirez,Psychiatry,Admin,"(11)","(100)"
Charles Ramirez,Orthopedics,Admin,"(1, 4)","(001, 001)"
Charles Ramirez,Oncology,Admin,"(14)","(001)"
Charles Robinson,Orthopedics,Doctor,"(2)","(010)"
Charles Taylor,Radiology,Admin,"(9)","(010)"
Charles Taylor,Orthopedics,Admin,"(2)","(010)"
Charles Wright,Orthopedics,Nurse,"(10)","(100)"
Charles Wright,Oncology,Nurse,"(11)","(100)"
Charlotte Allen,Emergency,Admin,"(5, 9)","(001, 010)"
Charlotte Allen,ICU,Admin,"(6)","(001)"
Charlotte Allen,Pediatrics,Admin,"(14)","(001)"
Charlotte Allen,Radiology,Admin,"(2, 4)","(010, 010)"
Charlotte Allen,Psychiatry,Admin,"(7)","(010)"
Charlotte Allen,Oncology,Admin,"(3, 11, 12)","(010, 100, 100)"
Charlotte Davis,Cardiology,Doctor,"(3, 6)","(001, 001)"
Charlotte Davis,Neurology,Doctor,"(9)","(001)"
Charlotte Davis,ICU,Doctor,"(2)","(001)"
Charlotte Davis,Pediatrics,Doctor,"(1, 12)","(001, 001)"
Charlotte Davis,Gynecology,Doctor,"(7)","(001)"
Charlotte Davis,Psychiatry,Doctor,"(8)","(100)"
Charlotte Flores,Neurology,Doctor,"(11)","(001)"
Charlotte Flores,Gynecology,Doctor,"(8)","(010)"
Charlotte Gonzalez,Orthopedics,Doctor,"(12)","(010)"
Charlotte Gonzalez,Oncology,Doctor,"(13)","(001)"
Charlotte King,Emergency,Nurse,"(2)","(100)"
Charlotte King,Neurology,Nurse,"(8)","(010)"
Charlotte King,ICU,Nurse,"(10)","(001)"
Charlotte King,Pediatrics,Nurse,"(5, 13)","(100, 100)"
Charlotte King,Gynecology,Nurse,"(4)","(010)"
Charlotte King,Radiology,Nurse,"(9)","(001)"
Charlotte King,Orthopedics,Nurse,"(1)","(010)"
Charlotte King,Oncology,Nurse,"(7, 11)","(010, 001)"
Charlotte Lewis,Cardiology,Nurse,"(1, 7)","(001, 010)"
Charlotte Lewis,Neurology,Nurse,"(3, 8, 12)","(010, 100, 100)"
Charlotte Lewis,ICU,Nurse,"(6, 10)","(010, 100)"
Charlotte Lewis,Pediatrics,Nurse,"(4)","(001)"
Charlotte Lewis,Gynecology,Nurse,"(13, 14)","(001, 100)"
Charlotte Lewis,Radiology,Nurse,"(11)","(001)"
Charlotte Lewis,Oncology,Nurse,"(2)","(001)"
Charlotte Martinez,Psychiatry,Admin,"(10)","(100)"
Charlotte Martinez,Oncology,Admin,"(5)","(100)"
Charlotte Nguyen,Emergency,Nurse,"(4)","(100)"
Charlotte Nguyen,Cardiology,Nurse,"(6, 11, 13)","(010, 001, 010)"
Charlotte Nguyen,Neurology,Nurse,"(12)","(001)"
Charlotte Nguyen,ICU,Nurse,"(8)","(010)"
Charlotte Nguyen,Gynecology,Nurse,"(7)","(010)"
Charlotte Nguyen,Radiology,Nurse,"(3)","(001)"
Charlotte Nguyen,Orthopedics,Nurse,"(14)","(001)"
Charlotte Thomas,Emergency,Admin,"(14)","(001)"
Charlotte Thomas,Cardiology,Admin,"(2, 12)","(001, 010)"
Charlotte Thomas,Neurology,Admin,"(4)","(010)"
Charlotte Thomas,Pediatrics,Admin,"(1, 6, 10, 11)","(001, 100, 001, 010)"
Charlotte Thomas,Gynecology,Admin,"(3)","(010)"
Charlotte Thomas,Psychiatry,Admin,"(7)","(100)"
Charlotte Thomas,Oncology,Admin,"(5, 9)","(100, 001)"
Charlotte Thompson,Emergency,Admin,"(11, 13)","(100, 001)"
Charlotte Thompson,Cardiology,Admin,"(8, 10)","(001, 010)"
Charlotte Thompson,ICU,Admin,"(3)","(100)"
Charlotte Thompson,Radiology,Admin,"(4)","(010)"
Charlotte Thompson,Psychiatry,Admin,"(9)","(010)"
Charlotte Thompson,Orthopedics,Admin,"(14)","(001)"
Charlotte Thompson,Oncology,Admin,"(1, 12)","(001, 001)"
Charlotte Wilson,Emergency,Admin,"(8, 11, 13)","(100, 010, 001)"
Charlotte Wilson,Cardiology,Admin,"(9)","(010)"
Charlotte Wilson,ICU,Admin,"(1, 10)","(001, 100)"
Charlotte Wilson,Pediatrics,Admin,"(6, 7)","(100, 010)"
Charlotte Wilson,Radiology,Admin,"(3, 5, 14)","(100, 001, 010)"
Charlotte Wilson,Orthopedics,Admin,"(12)","(010)"
David Brown,Emergency,Doctor,"(7)","(010)"
David Brown,Cardiology,Doctor,"(12)","(100)"
David Brown,Neurology,Doctor,"(6, 10)","(100, 100)"
David Brown,Gynecology,Doctor,"(2, 11)","(100, 100)"
David Brown,Psychiatry,Doctor,"(1, 4, 5, 8)","(100, 100, 100, 010)"
David Clark,Neurology,Doctor,"(1, 5, 14)","(010, 100, 010)"
David Clark,ICU,Doctor,"(8)","(100)"
David Clark,Pediatrics,Doctor,"(2)","(001)"
David Clark,Gynecology,Doctor,"(6)","(010)"
David Clark,Psychiatry,Doctor,"(3, 13)","(001, 100)"
David Clark,Oncology,Doctor,"(4, 9, 12)","(010, 001, 001)"
David King,Emergency,Nurse,"(10)","(001)"
David King,Cardiology,Nurse,"(11)","(100)"
David King,Pediatrics,Nurse,"(2, 4, 7)","(001, 001, 001)"
David King,Gynecology,Nurse,"(12, 13)","(001, 100)"
David King,Psychiatry,Nurse,"(8)","(010)"
David King,Orthopedics,Nurse,"(6, 14)","(010, 100)"
David King,Oncology,Nurse,"(3, 5)","(100, 010)"
David Lopez,Emergency,Nurse,"(9)","(100)"
David Lopez,Pediatrics,Nurse,"(6, 7, 8)","(100, 010, 100)"
David Lopez,Radiology,Nurse,"(12, 14)","(100, 100)"
David Lopez,Psychiatry,Nurse,"(1, 11, 13)","(010, 100, 010)"
David Miller,ICU,Admin,"(5)","(100)"
David Miller,Pediatrics,Admin,"(14)","(100)"
David Nguyen,Neurology,Doctor,"(5)","(010)"
David Nguyen,Pediatrics,Doctor,"(3)","(010)"
David Nguyen,Psychiatry,Doctor,"(14)","(010)"
David Smith,Oncology,Nurse,"(7, 13)","(100, 010)"
David Torres,Emergency,Admin,"(9, 14)","(001, 100)"
David Torres,Neurology,Admin,"(10)","(010)"
David Torres,ICU,Admin,"(11)","(010)"
David Torres,Pediatrics,Admin,"(4, 5)","(001, 001)"
David Torres,Gynecology,Admin,"(7, 12)","(010, 010)"
David Torres,Radiology,Admin,"(3)","(010)"
David Torres,Oncology,Admin,"(8, 13)","(001, 100)"
David Williams,Emergency,Nurse,"(1, 9)","(100, 100)"
David Williams,Cardiology,Nurse,"(4, 13, 14)","(100, 010, 010)"
David Williams,ICU,Nurse,"(11)","(001)"
David Williams,Gynecology,Nurse,"(3, 12)","(100, 001)"
David Williams,Orthopedics,Nurse,"(2, 10)","(010, 100)"
Dorothy Allen,Emergency,Admin,"(14)","(001)"
Dorothy Allen,Cardiology,Admin,"(4, 5, 10)","(001, 010, 010)"
Dorothy Allen,ICU,Admin,"(2, 11)","(100, 100)"
Dorothy Allen,Gynecology,Admin,"(12)","(010)"
Dorothy Allen,Radiology,Admin,"(7)","(001)"
Dorothy Allen,Psychiatry,Admin,"(3)","(100)"
Dorothy Allen,Orthopedics,Admin,"(1)","(010)"
Dorothy Allen,Oncology,Admin,"(6, 9)","(100, 010)"
Dorothy Brown,Emergency,Doctor,"(10)","(010)"
Dorothy Brown,Cardiology,Doctor,"(5, 9)","(001, 100)"
Dorothy Brown,Neurology,Doctor,"(2)","(010)"
Dorothy Brown,Gynecology,Doctor,"(12, 13)","(010, 010)"
Dorothy Brown,Radiology,Doctor,"(1, 3, 6)","(010, 100, 010)"
Dorothy Brown,Psychiatry,Doctor,"(8)","(100)"
Dorothy Brown,Orthopedics,Doctor,"(4)","(010)"
Dorothy Clark,Orthopedics,Admin,"(14)","(010)"
Dorothy Hernandez,Emergency,Nurse,"(10, 11)","(100, 100)"
Dorothy Hernandez,ICU,Nurse,"(9)","(100)"
Dorothy Hernandez,Pediatrics,Nurse,"(3, 8)","(100, 010)"
Dorothy Hernandez,Gynecology,Nurse,"(2)","(001)"
Dorothy Hernandez,Radiology,Nurse,"(4, 5, 13)","(010, 100, 100)"
Dorothy Hernandez,Psychiatry,Nurse,"(7)","(100)"
Dorothy Hernandez,Orthopedics,Nurse,"(12)","(010)"
Dorothy Hernandez,Oncology,Nurse,"(1)","(010)"
Dorothy King,Emergency,Nurse,"(7, 9)","(010, 001)"
Dorothy King,Cardiology,Nurse,"(6)","(010)"
Dorothy King,ICU,Nurse,"(1, 14)","(100, 100)"
Dorothy King,Gynecology,Nurse,"(10)","(010)"
Dorothy King,Radiology,Nurse,"(11, 12)","(010, 100)"
Dorothy King,Psychiatry,Nurse,"(2)","(001)"
Dorothy King,Orthopedics,Nurse,"(3, 13)","(100, 001)"
Dorothy Lewis,Pediatrics,Admin,"(11)","(100)"
Dorothy Lewis,Radiology,Admin,"(7)","(001)"
Dorothy Lewis,Oncology,Admin,"(14)","(001)"
Dorothy Martinez,Emergency,Admin,"(8)","(100)"
Dorothy Martinez,Neurology,Admin,"(5)","(010)"
Dorothy Martinez,Radiology,Admin,"(9, 12, 14)","(100, 100, 001)"
Dorothy Martinez,Psychiatry,Admin,"(3, 7)","(010, 100)"
Dorothy Martinez,Orthopedics,Admin,"(13)","(010)"
Dorothy Martinez,Oncology,Admin,"(10)","(100)"
Dorothy Nguyen,Pediatrics,Admin,"(2, 14)","(010, 001)"
Dorothy Nguyen,Psychiatry,Admin,"(3, 4)","(001, 001)"
Dorothy Robinson,Emergency,Nurse,"(11)","(010)"
Dorothy Robinson,ICU,Nurse,"(4, 7, 13)","(010, 100, 100)"
Dorothy Robinson,Gynecology,Nurse,"(1, 10)","(100, 001)"
Dorothy Robinson,Radiology,Nurse,"(8)","(001)"
Dorothy Robinson,Psychiatry,Nurse,"(3)","(001)"
Dorothy Robinson,Orthopedics,Nurse,"(2, 12)","(100, 001)"
Dorothy Rodriguez,Pediatrics,Nurse,"(6, 13)","(001, 001)"
Dorothy Rodriguez,Radiology,Nurse,"(1)","(100)"
Dorothy Thomas,Emergency,Nurse,"(5, 6, 10)","(001, 100, 001)"
Dorothy Thomas,Cardiology,Nurse,"(1)","(100)"
Dorothy Thomas,ICU,Nurse,"(4, 13)","(010, 001)"
Dorothy Thomas,Radiology,Nurse,"(7, 14)","(001, 001)"
Dorothy Thomas,Orthopedics,Nurse,"(12)","(100)"
Dorothy Thomas,Oncology,Nurse,"(11)","(001)"
Dorothy Thompson,ICU,Doctor,"(11)","(001)"
Dorothy Thompson,Pediatrics,Doctor,"(4, 5)","(100, 010)"
Dorothy Thompson,Psychiatry,Doctor,"(1)","(100)"
Dorothy White,Gynecology,Admin,"(8, 14)","(100, 001)"
Dorothy White,Oncology,Admin,"(2)","(010)"
Elijah Clark,Emergency,Admin,"(6)","(100)"
Elijah Clark,Cardiology,Admin,"(3)","(001)"
Elijah Clark,Pediatrics,Admin,"(8)","(100)"
Elijah Clark,Gynecology,Admin,"(4)","(001)"
Elijah Clark,Orthopedics,Admin,"(1)","(010)"
Elijah Flores,Neurology,Doctor,"(2)","(001)"
Elijah Garcia,Pediatrics,Nurse,"(7)","(010)"
Elijah Garcia,Oncology,Nurse,"(6)","(001)"
Elijah Harris,Gynecology,Nurse,"(3, 7, 10)","(100, 010, 010)"
Elijah Jackson,Emergency,Admin,"(5, 9)","(100, 100)"
Elijah Jackson,Cardiology,Admin,"(12)","(100)"
Elijah Jackson,ICU,Admin,"(2, 4)","(100, 010)"
Elijah Jackson,Radiology,Admin,"(13)","(010)"
Elijah Jackson,Psychiatry,Admin,"(6, 7)","(100, 010)"
Elijah Jackson,Orthopedics,Admin,"(14)","(100)"
Elijah Jackson,Oncology,Admin,"(8, 10)","(100, 010)"
Elijah Johnson,Emergency,Admin,"(11)","(010)"
Elijah Johnson,Cardiology,Admin,"(1)","(010)"
Elijah Johnson,Pediatrics,Admin,"(6)","(001)"
Elijah Johnson,Gynecology,Admin,"(4)","(010)"
Elijah Johnson,Radiology,Admin,"(2, 9)","(100, 100)"
Elijah Johnson,Psychiatry,Admin,"(5, 13)","(010, 010)"
Elijah Johnson,Orthopedics,Admin,"(7, 12)","(010, 010)"
Elijah Johnson,Oncology,Admin,"(3)","(001)"
Elijah Lee,Emergency,Admin,"(1)","(010)"
Elijah Lee,Neurology,Admin,"(10)","(100)"
Elijah Lee,ICU,Admin,"(4, 12, 13)","(010, 010, 100)"
Elijah Lee,Gynecology,Admin,"(6)","(010)"
Elijah Lee,Psychiatry,Admin,"(5)","(100)"
Elijah Lee,Orthopedics,Admin,"(2)","(001)"
Elijah Lee,Oncology,Admin,"(3)","(010)"
Elijah Moore,Cardiology,Nurse,"(14)","(010)"
Elijah Moore,Pediatrics,Nurse,"(7, 8, 12)","(001, 001, 100)"
Elijah Moore,Gynecology,Nurse,"(13)","(001)"
Elijah Moore,Radiology,Nurse,"(6)","(001)"
Elijah Moore,Psychiatry,Nurse,"(2, 3)","(100, 010)"
Elijah Moore,Orthopedics,Nurse,"(10)","(001)"
Elijah Nguyen,Cardiology,Nurse,"(2, 7)","(010, 100)"
Elijah Nguyen,Neurology,Nurse,"(3)","(100)"
Elijah Nguyen,ICU,Nurse,"(1)","(001)"
Elijah Nguyen,Pediatrics,Nurse,"(6)","(100)"
Elijah Nguyen,Gynecology,Nurse,"(10, 11, 14)","(100, 010, 010)"
