EmployeeName,Department,Role,Day,Shift
James Garcia,Radiology,Nurse,"(1, 3, 9)","(110, 011, 101)"
Michael Hill,Emergency,Admin,"(2, 5, 8)","(010, 011, 011)"
Joseph Young,Radiology,Nurse,"(1, 2, 4, 5, 11)","(100, 101, 011, 010, 011)"
Jennifer Thomas,Neurology,Admin,"(6, 11, 14)","(010, 001, 110)"
William Ramirez,Psychiatry,Admin,"(4, 11, 13, 14)","(010, 101, 110, 010)"
Mary Harris,Oncology,Doctor,"(3, 5, 6, 9)","(011, 001, 001, 101)"
Noah Davis,Neurology,Nurse,"(1, 2, 8, 9, 14)","(011, 101, 110, 100, 110)"
Ava Rodriguez,Radiology,Doctor,"(2, 7, 9, 11, 12)","(110, 110, 011, 100, 011)"
Joseph Martinez,Oncology,Doctor,"(3, 10, 12)","(110, 101, 001)"
Barbara Miller,Emergency,Doctor,"(6, 7, 12, 13)","(100, 010, 011, 011)"
William Taylor,Emergency,Nurse,"(1, 3, 8, 14)","(110, 011, 010, 100)"
Evelyn Gonzalez,Neurology,Admin,"(7, 8, 9)","(100, 011, 010)"
Harper Garcia,Orthopedics,Nurse,"(2, 4, 9, 14)","(100, 001, 101, 011)"
Joseph Walker,Radiology,Admin,"(2, 3, 9, 14)","(011, 100, 011, 010)"
Noah Smith,Gynecology,Nurse,"(1, 4, 5, 10, 13)","(011, 101, 101, 100, 110)"
Amelia Wilson,Orthopedics,Admin,"(1, 2, 8, 9)","(110, 001, 101, 001)"
Amelia Thompson,Gynecology,Doctor,"(1, 2, 12, 14)","(001, 001, 010, 101)"
